prediction,x,y
0.06851307981552797,88,33
0.058129872645521885,85,66
0.03264125384464853,86,28
0.036840762795908255,76,53
0.031102771678414166,78,36
0.037009910324356576,76,50
0.09392505357181742,86,38
0.036840762795908255,76,47
0.03785329367971003,79,63
0.025698146078997484,74,57
0.03384679622982621,80,66
0.016301549955943215,73,36
0.06201835689028396,80,44
0.06605906699920921,80,52
0.27528703788777137,91,55
0.04307312833651787,79,61
0.0174375646085698,72,40
0.04907298810714056,80,61
0.25544379064490036,90,54
0.02552543668799497,77,65
0.031755895695598085,76,41
0.018747694126455543,72,42
0.2053542572513648,89,56
0.0377880067116044,93,26
0.006141231286351735,67,67
0.1496099936979294,88,59
0.05635000244077273,87,32
0.08636822242735516,87,36
0.0185976726821222,74,64
0.031755895695598085,76,41
0.026459113203180947,75,60
0.026900993387042146,74,45
0.09819795565936067,84,42
0.01015732697910831,72,69
0.1609151814304435,88,42
0.03384679622982621,80,66
0.026459113203180947,75,60
0.13910669409778162,90,38
0.10050443224662368,90,65
0.10050443224662368,90,65
0.03010963698825598,79,66
0.062468561640324,90,31
0.045699661175166474,89,29
0.01335623996703876,73,67
0.0868895342211836,84,40
0.15571368730901153,86,49
0.23097580816385094,89,47
0.4094327144863106,97,44
0.08616579859242166,83,42
0.003922689048942831,79,85
0.11163858177024298,85,42
0.11242096894763723,94,34
0.41242182176631037,95,45
0.03158802022494574,83,70
0.11627991097014205,84,53
0.3489827845548342,92,48
0.2879048419512177,92,56
0.2852892505877718,94,58
0.02105821489024618,81,72
0.02760748299193319,74,52
0.15329743793910103,89,60
0.12178775192942264,97,34
0.03864333677299651,84,31
0.047579629671858824,84,33
0.05172533448711648,89,70
0.06333121241877024,82,61
0.10050443224662368,90,35
0.16759932069627917,91,61
0.027411793483567728,77,36
0.1015949101539448,83,48
0.06755747972796247,82,60
0.031089372706209532,75,55
0.01091638583020027,70,64
0.015064734570730478,76,30
0.017434900549352733,74,65
0.10213933487873117,86,39
0.00795719102732242,72,28
0.07822657733835112,86,64
0.05434330610036921,88,69
0.025378992511107215,83,28
0.07023052040135001,87,34
0.08825352154893934,82,49
0.02552543668799497,77,65
0.01709852983479004,71,56
0.01538029057743712,70,52
0.03937154407099757,77,57
0.08958129285834684,90,66
0.08540323620164303,88,65
